Libéllé Département;Nom Famille;Code Produit;Code Coloris;Nom Produit;E-COMMERCE AXE 1;E-COMMERCE AXE 2;E-COMMERCE AXE 3;E-COMMERCE AXE 4;Marque;Theme;Libellé Court
FEMME;ROBE ETE                      ;76030020;10;MILACOLLIER;;;;;AFFINITES;PASHMINA;ROBE EN MILANO
FEMME;ROBE ETE                      ;76039003;64;BICONOEUD;;;;;AT FEMME;PRETTY;ROBE VOLANTEE
FEMME;IMPERMEABLE                   ;76510003;04;GOLDY;;;;;AFFINITES;PIONNIER;IMPER COURT UNI
FEMME;IMPERMEABLE                   ;76510007;41;TRESSE;;;;;AFFINITES;PONDICHERY;IMPER LONG UNI
FEMME;VESTE ETE ML                  ;76870011;41;SUEDZIP;;;;;AFFINITES;PONDICHERY;VESTE UNIE DETENTE
FEMME;PULL FANTAISIE                ;77030001;13;RAYEPOP;;;;;AFFINITES;NAVY POP;PUILL RAYE FIL FANTAISIE
FEMME;PULL FANTAISIE                ;77030009;40;2 EN 1 RAYE;;;;;AFFINITES;PIONNIER;PULL RAYE
FEMME;PULL FANTAISIE                ;77030010;13;DENTRUBPRINT;;;;;AFFINITES;MONSOON;PULL MOTIF FLEUR 
FEMME;CARDIGAN                      ;77050005;14;SHINY TRESSE;;;;;AFFINITES;PRETTY;CARDIGAN AVEC TRESSE 
FEMME;CARDIGAN                      ;77050017;23;CARD-T;;;;;AFFINITES;PONDICHERY;GILET MANCHES TOMBANTES
FEMME;CARDIGAN                      ;77050029;03;CHINPOILU;;;;;AFFINITES;PASHMINA;GILET POILU
FEMME;T SHIRT ML                    ;77110001;40;FOLK;;;;;AFFINITES;PIONNIER;TEE SHIRT FANTAISIE
FEMME;T SHIRT ML                    ;77110003;13;WESTERN 3/4;;;;;AFFINITES;MONSOON;TEE SHIRT UNI FANTAISIE
FEMME;T SHIRT ML                    ;77110005;40;AMISH;;;;;AFFINITES;PIONNIER;TEE SHIRT UNI FANTAISIE
FEMME;T SHIRT ML                    ;77110007;23;PAEONIA;;;;;AFFINITES;PONDICHERY;TEE SHIRT IMPRIME FANTAISIE
FEMME;T SHIRT ML                    ;77110008;33;PADDINGTON;;;;;AFFINITES;FOLK ARMY;TEE SHIRT UNI FANTAISIE
FEMME;T SHIRT ML                    ;77110011;23;BIRDY;;;;;AFFINITES;PIONNIER;TEE SHIRT FANTAISIE
FEMME;T SHIRT ML                    ;77110021;23;BEAUTIFUL;;;;;AFFINITES;IPANEMA;TEE SHIRT FANTAISIE
FEMME;T SHIRT ML;77120002;26;* TUNIRONDS;;;;;AFFINITES;IPANEMA;TEE SHIRT FANTAISIE
FEMME;T SHIRT ML;77120010;12;CREP/ROND;;;;;AFFINITES;MONSOON;TEE SHIRT FANTAISIE
FEMME;T SHIRT ML;77120011;10;CREP/COLLIER;;;;;AFFINITES;PASHMINA;TEE SHIRT FANTAISIE
FEMME;T SHIRT ML;77120022;41;MIX/JACQ;;;;;AFFINITES;PONDICHERY;TEE SHIRT UNI
FEMME;T SHIRT MC                    ;77130001;23;MACRA/BTS;;;;;AFFINITES;PIONNIER;TEE SHIRT UNI FANTAISIE
FEMME;T SHIRT MC                    ;77130005;80;TUNI/BRODE;;;;;AFFINITES;IPANEMA;TEE SHIRT UNI FANTAISIE
FEMME;T SHIRT MC                    ;77130006;10;PASHMINA;;;;;AFFINITES;PASHMINA;TEE SHIRT FANTAISIE
FEMME;T SHIRT MC                    ;77130024;23;SYMBOL;;;;;AFFINITES;FOLK ARMY;TEE SHIRT FANTAISIE
FEMME;T SHIRT MC                    ;77130026;10;MAYABROD;;;;;AFFINITES;PASHMINA;TEE SHIRT FANTAISIE
FEMME;T SHIRT MC                    ;77130027;84;AMISH/MC;;;;;AFFINITES;FOLK ARMY;TEE SHIRT UNI FANTAISIE
FEMME;T SHIRT MC                    ;77130031;42;TUNICABO;;;;;AFFINITES;NAVY POP;TEE SHIRT UNI
FEMME;T SHIRT MC                    ;77130040;03;MC/IXTAPA;;;;;AFFINITES;JAIPUR;TEE SHIRT FANTAISIE
FEMME;T SHIRT MC                    ;77130047;15;DEV/UNI;;;;;AFFINITES;JAIPUR;TEE SHIRT UNI
FEMME;T SHIRT MC                    ;77130053;03;RAY/DENT;;;;;AFFINITES;ROMANTIC DENIM;
FEMME;T SHIRT MC;77140024;40;FLAM-ECRITURES;;;;;AFFINITES;PONDICHERY;TEE SHIRT FANTAISIE
FEMME;T SHIRT MC;77140035;23;SUBLI/ZEBRE;;;;;AFFINITES;FOLK ARMY;TEE SHIRT FANTAISIE
FEMME;T SHIRT MC;77140046;12;SAT/NAVY;;;;;AFFINITES;NAVY POP;TEE SHIRT FANTAISIE
FEMME;T SHIRT MC;77140047;32;FL/FOLKY;;;;;AFFINITES;FOLK ARMY;TEE SHIRT FANTAISIE
